"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","AQS","191130040","1","0.1","ppm","1","Public Health","18","75.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"01/02/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"01/03/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"01/04/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"01/05/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"01/06/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"01/10/2018","AQS","191130040","1","0.7","ppm","8","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"01/11/2018","AQS","191130040","1","0.7","ppm","8","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"01/12/2018","AQS","191130040","1","0.2","ppm","2","Public Health","21","88.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"01/14/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"01/15/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
