"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/05/2010","AQS","190130008","2","23","ug/m3 SC","21","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/08/2010","AQS","190130008","2","4","ug/m3 SC","4","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/11/2010","AQS","190130008","2","13","ug/m3 SC","12","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/14/2010","AQS","190130008","2","24","ug/m3 SC","22","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/17/2010","AQS","190130008","2","13","ug/m3 SC","12","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/20/2010","AQS","190130008","2","17","ug/m3 SC","16","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/23/2010","AQS","190130008","2","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/26/2010","AQS","190130008","2","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/29/2010","AQS","190130008","2","49","ug/m3 SC","45","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/01/2010","AQS","190130008","2","54","ug/m3 SC","50","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/04/2010","AQS","190130008","2","44","ug/m3 SC","41","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/07/2010","AQS","190130008","2","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/10/2010","AQS","190130008","2","20","ug/m3 SC","19","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/13/2010","AQS","190130008","2","20","ug/m3 SC","19","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/16/2010","AQS","190130008","2","14","ug/m3 SC","13","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/19/2010","AQS","190130008","2","59","ug/m3 SC","53","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/24/2010","AQS","190130008","2","18","ug/m3 SC","17","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/25/2010","AQS","190130008","2","24","ug/m3 SC","22","","1","100.0000","81102","PM10 Total 0-10um STP","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
