"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/05/2010","AQS","190130008","1","20.7","ug/m3 LC","69","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/08/2010","AQS","190130008","1","7.6","ug/m3 LC","32","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/11/2010","AQS","190130008","1","18.7","ug/m3 LC","65","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/14/2010","AQS","190130008","1","22.5","ug/m3 LC","73","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/17/2010","AQS","190130008","1","12.7","ug/m3 LC","52","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/20/2010","AQS","190130008","1","16.2","ug/m3 LC","60","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/23/2010","AQS","190130008","1","11.1","ug/m3 LC","46","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/26/2010","AQS","190130008","1","5.7","ug/m3 LC","24","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"01/29/2010","AQS","190130008","1","16.8","ug/m3 LC","61","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/01/2010","AQS","190130008","1","33.8","ug/m3 LC","97","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/04/2010","AQS","190130008","1","38.8","ug/m3 LC","109","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/07/2010","AQS","190130008","1","12.2","ug/m3 LC","51","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/10/2010","AQS","190130008","1","12.4","ug/m3 LC","52","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/16/2010","AQS","190130008","1","5.7","ug/m3 LC","24","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/19/2010","AQS","190130008","1","36.7","ug/m3 LC","104","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
"02/22/2010","AQS","190130008","1","18.2","ug/m3 LC","64","","1","100.0000","88101","PM2.5 - Local Conditions","47940","Waterloo-Cedar Falls, IA","19","Iowa","013","Black Hawk","42.493042295","-92.344074284"
